ProjectId,CustomerId,ProjectName,Status,BudgetUsd,SpentUsd,StartDate,TargetEndDate
112,27,Automated value-added success,Paused,34446121,14276109,2026-03-17,2027-01-25
113,146,Business-focused systemic forecast,At Risk,31716977,27968815,2025-12-29,2027-01-07
114,187,Grass-roots contextually-based knowledgebase,Planned,1032540,745297,2024-07-23,2026-10-12
115,106,Innovative encompassing Graphical User Interface,At Risk,29763450,14369873,2025-11-14,2027-06-13
116,272,Open-source asymmetric approach,Planned,11516480,9053336,2025-08-17,2027-01-02
117,242,Streamlined cohesive neural-net,Completed,11571463,7674572,2025-05-19,2028-04-09
118,268,Persevering foreground array,Completed,632405,374060,2026-02-26,2026-12-28
119,29,Decentralized eco-centric implementation,Completed,15613418,9186889,2026-01-04,2026-12-23
120,55,Quality-focused composite open architecture,Paused,29038840,6470347,2026-04-15,2026-07-29
121,57,Intuitive incremental model,Active,31939934,32260508,2026-04-22,2027-09-12
122,67,Customizable systematic adapter,Paused,14009852,10672456,2025-07-19,2027-10-09
123,197,Public-key modular matrices,Planned,17265411,10347697,2025-05-08,2028-03-30
124,275,Phased heuristic algorithm,Active,13685238,8247910,2024-08-30,2027-08-19
125,21,Synergistic regional data-warehouse,Paused,30425089,28264741,2026-02-01,2027-09-06
126,55,Enhanced fresh-thinking infrastructure,At Risk,868024,304772,2026-05-05,2027-05-23
127,281,Seamless mission-critical solution,Paused,1401556,1064063,2025-12-16,2028-01-06
128,188,Object-based dynamic array,Paused,24015474,14082273,2025-12-10,2027-06-12
129,17,Polarized asymmetric model,At Risk,1388545,473305,2025-03-29,2027-04-21
130,151,Upgradable leadingedge support,Active,13429498,11585280,2025-12-12,2027-07-16
131,110,Cloned impactful emulation,Active,26925541,26928967,2026-01-02,2028-01-01
132,63,Object-based demand-driven utilization,Completed,26619639,18250865,2025-06-30,2026-12-25
133,196,Exclusive client-server synergy,Completed,37409601,18424288,2026-01-05,2026-10-07
134,133,Synergized reciprocal model,Planned,27136895,20436711,2025-04-11,2026-07-26
135,200,Function-based impactful infrastructure,At Risk,30094599,23060269,2025-03-03,2028-02-12
136,34,Re-contextualized mobile knowledge user,Planned,29721920,21232962,2024-07-07,2027-02-14
137,126,Object-based exuding flexibility,At Risk,39193230,35479855,2026-05-02,2028-01-28
138,73,Function-based non-volatile projection,Planned,6402397,2990808,2025-02-10,2026-09-18
139,209,Customer-focused solution-oriented Local Area Network,Completed,20411312,18032673,2025-03-13,2026-08-10
140,38,Quality-focused solution-oriented alliance,Planned,696072,416727,2026-02-08,2027-11-16
141,112,Progressive reciprocal encryption,Paused,13662385,6859914,2026-03-15,2028-04-18
142,133,Diverse national access,Active,10905271,4734169,2026-03-30,2028-01-18
143,58,Reverse-engineered cohesive adapter,Paused,36517560,33542587,2025-02-23,2028-03-07
144,71,Inverse 4thgeneration forecast,At Risk,19764826,12841569,2025-09-09,2027-04-16
145,258,Optimized regional instruction set,Planned,4826394,1848143,2025-08-15,2026-08-03
146,155,Configurable radical concept,Paused,7589837,6170764,2026-03-01,2026-11-17
147,39,Intuitive client-driven workforce,Active,1438192,665316,2025-01-15,2028-05-11
148,24,Decentralized foreground productivity,Planned,10289169,2919811,2025-05-06,2027-07-06
149,194,Future-proofed system-worthy website,Paused,32362017,25803756,2024-09-27,2027-05-03
150,199,Operative background projection,Active,19915368,10665721,2026-01-13,2027-06-13
151,119,Upgradable object-oriented synergy,Paused,22545579,8863077,2026-02-10,2028-01-29
152,47,Face-to-face disintermediate groupware,Planned,6672826,1351957,2025-04-21,2028-02-24
153,61,Integrated coherent adapter,Completed,18931259,18117777,2024-08-21,2027-01-13
154,133,Inverse local infrastructure,Paused,10833287,6577806,2026-05-01,2026-09-04
155,218,Universal static conglomeration,Active,8606037,4007380,2026-03-06,2028-02-24
156,283,Universal zero administration hierarchy,Planned,23013005,10733031,2024-07-23,2027-04-27
157,71,Cloned 24/7 data-warehouse,Completed,37042020,31095130,2024-08-10,2027-02-09
158,253,Sharable solution-oriented matrix,Active,22513430,19585770,2026-03-09,2027-10-24
159,120,Sharable incremental hub,Completed,25372282,21186205,2026-01-24,2026-12-04
160,260,Sharable interactive hub,At Risk,7007698,3387058,2025-10-27,2028-04-04
161,80,Horizontal interactive synergy,Planned,25658470,23320675,2024-07-31,2028-02-07
162,237,Centralized directional task-force,Completed,11189505,4346884,2025-12-07,2027-01-22
163,10,Open-source logistical service-desk,At Risk,10701766,4766328,2024-10-17,2027-01-07
164,223,Synergistic actuating archive,Completed,25217644,21195746,2026-02-26,2028-05-06
165,237,Versatile multimedia process improvement,At Risk,31844785,10104908,2024-10-16,2028-06-05
166,34,Robust bifurcated framework,Completed,30031445,8542410,2025-10-12,2028-02-14
167,105,Extended global productivity,Completed,4503447,3991564,2024-12-19,2026-11-11
168,63,Self-enabling transitional Internet solution,At Risk,24670175,12802525,2024-09-13,2028-06-05
169,247,Synchronized interactive workforce,Active,36072296,37002008,2025-11-29,2026-07-08
170,247,Team-oriented multimedia artificial intelligence,Completed,4507158,1711394,2026-01-31,2026-12-30
171,163,Profit-focused executive structure,Paused,20995416,21254102,2025-05-05,2027-02-28
172,9,Compatible dynamic support,At Risk,12862947,12060219,2025-12-11,2028-01-07
173,38,Persistent systematic flexibility,At Risk,20647691,12754110,2025-08-29,2027-06-29
174,236,User-centric foreground adapter,Active,12551260,6503533,2025-03-09,2028-03-20
175,289,Devolved static firmware,Completed,11993614,5706975,2024-07-22,2027-03-09
176,271,Intuitive zero administration flexibility,Completed,27433238,27829650,2025-04-08,2027-03-13
177,96,De-engineered analyzing initiative,At Risk,37645455,23657961,2025-08-28,2027-10-19
178,24,Stand-alone intermediate benchmark,At Risk,30511403,16652945,2024-08-23,2028-05-09
179,70,Up-sized grid-enabled throughput,Completed,1090254,621025,2025-08-10,2026-12-09
180,106,Organic coherent groupware,Planned,10051384,6000021,2024-12-02,2026-07-07
181,106,Decentralized foreground monitoring,Paused,23100063,8612720,2024-12-27,2027-02-11
182,206,Virtual radical toolset,Active,32336302,17674448,2024-12-10,2028-03-31
183,184,Virtual clear-thinking neural-net,Paused,8814132,3356836,2024-06-27,2027-02-19
184,221,Synergistic 3rdgeneration approach,Paused,34219491,30585153,2025-08-05,2026-11-01
185,27,Upgradable web-enabled database,Planned,27675523,26115019,2024-08-31,2027-03-15
186,135,Business-focused methodical open architecture,Paused,35096119,33775582,2025-06-04,2026-07-17
187,202,Mandatory systemic core,At Risk,16087096,5572294,2025-08-03,2028-02-29
188,190,Front-line well-modulated flexibility,At Risk,16191859,6728653,2025-09-09,2027-12-31
189,14,Expanded contextually-based synergy,Paused,35620496,35021355,2025-09-01,2028-03-22
190,75,Digitized 4thgeneration groupware,Completed,32227410,11795627,2025-10-13,2028-01-03
191,43,Multi-layered tertiary hardware,Completed,22369555,15543046,2026-04-14,2027-12-03
192,220,Multi-tiered client-server middleware,At Risk,17671967,14924058,2025-01-16,2027-06-25
193,99,Networked grid-enabled superstructure,Planned,21986843,11906753,2026-04-04,2027-07-29
194,243,Face-to-face discrete policy,Completed,33967291,23578883,2024-12-05,2027-08-23
195,256,Implemented demand-driven archive,Active,23149967,11244804,2024-07-06,2027-11-03
196,224,Configurable needs-based middleware,Planned,5565667,3823380,2025-06-12,2027-12-29
197,124,Reactive leadingedge moderator,Active,35764273,14861047,2026-04-01,2028-01-15
198,245,Progressive 24/7 service-desk,Active,14496746,13250897,2026-02-07,2027-03-05
199,234,Enterprise-wide uniform migration,Active,14240669,4978791,2024-12-05,2027-05-19
200,90,Exclusive 24/7 software,Planned,10280105,6169919,2026-02-13,2027-08-09
201,39,Realigned intermediate hierarchy,Completed,31591431,28085091,2025-09-07,2027-08-28
202,219,Visionary systemic model,Planned,8499503,8533764,2025-01-09,2027-12-25
203,217,Sharable system-worthy superstructure,At Risk,11431467,2829072,2024-06-28,2027-05-23
204,81,Implemented global instruction set,At Risk,36853221,18747882,2024-10-05,2027-02-18
205,138,User-friendly homogeneous productivity,Paused,37476787,20066687,2025-05-14,2028-04-03
206,120,Diverse local attitude,Planned,2573115,1315071,2026-04-14,2028-01-31
207,218,Profit-focused local help-desk,Paused,39228171,8101669,2025-06-21,2028-02-10
208,92,Business-focused optimal neural-net,Active,12961467,2910601,2026-02-25,2027-10-21
209,212,Automated mobile Graphical User Interface,Planned,38560710,33147255,2026-03-07,2027-10-20
210,49,De-engineered 6thgeneration extranet,Completed,18260425,6446648,2025-03-27,2028-04-01
211,138,Business-focused maximized forecast,Planned,33649466,29878200,2024-11-10,2026-07-21
212,217,Open-architected empowering monitoring,Planned,37066081,8190744,2024-12-11,2028-06-12
213,231,Ergonomic reciprocal concept,Planned,31575631,29470692,2024-07-15,2027-02-03
214,111,Function-based zero-defect flexibility,Active,5794550,3082999,2024-06-25,2027-06-11
215,229,Sharable bandwidth-monitored orchestration,Planned,3039905,2848947,2025-05-25,2028-04-12
216,17,Streamlined regional synergy,Active,19942456,13643453,2025-10-07,2026-09-30
217,95,Enterprise-wide analyzing system engine,Active,28134001,25128122,2024-11-02,2027-04-15
218,130,Enterprise-wide reciprocal software,Active,19167864,9827175,2026-05-06,2026-08-27
219,58,Object-based regional workforce,At Risk,29966124,9970479,2025-09-07,2028-04-25
220,228,Optional attitude-oriented productivity,Paused,29473656,29841397,2025-12-20,2027-04-11
221,3,Switchable intangible focus group,Paused,36634172,14085937,2025-05-25,2028-06-09
222,17,Pre-emptive system-worthy orchestration,At Risk,27089096,22420903,2024-11-19,2026-11-13
223,134,Mandatory intangible hierarchy,At Risk,4484619,1478611,2024-09-20,2027-11-16
224,282,Assimilated needs-based encryption,Paused,22213735,6447366,2024-08-30,2027-11-05
225,113,Virtual web-enabled core,Active,15490524,4733796,2024-06-24,2026-07-10
226,253,User-centric human-resource artificial intelligence,Planned,12491833,8106725,2025-09-10,2027-07-14
227,82,Enhanced background groupware,Completed,38825993,11563721,2024-10-06,2027-08-14
228,114,Balanced analyzing methodology,At Risk,23758023,17612783,2025-01-11,2028-01-31
229,289,Networked homogeneous structure,Completed,29205672,7283448,2025-10-23,2026-12-03
230,215,Automated neutral implementation,At Risk,30770955,16245841,2024-07-03,2027-02-02
231,88,Realigned stable encoding,Paused,30841740,28260301,2024-08-23,2027-06-20
232,156,Extended clear-thinking framework,Paused,24283891,24553473,2025-03-14,2027-12-14
233,251,Grass-roots methodical budgetary management,Paused,18168748,13035092,2024-07-13,2026-08-10
234,192,Object-based analyzing Internet solution,Planned,1970006,1134120,2025-05-04,2027-10-07
235,259,Pre-emptive logistical moderator,Planned,37050269,20782411,2025-06-28,2027-09-19
236,215,Compatible eco-centric capability,Completed,33629739,34463264,2025-07-07,2026-08-03
237,12,Persevering cohesive workforce,Planned,11784761,2793150,2025-08-22,2027-06-29
238,53,Function-based methodical process improvement,Active,38319510,38191497,2026-01-12,2028-02-17
239,24,Up-sized 6thgeneration success,Planned,11533625,4088920,2024-08-29,2026-09-12
240,191,Centralized user-facing hardware,Active,20485218,19095436,2025-12-13,2027-01-15
241,17,Sharable systematic interface,Paused,19156446,7950114,2025-11-24,2027-07-24
242,18,Multi-layered logistical system engine,Active,39644027,15337939,2025-03-02,2027-08-31
243,179,Face-to-face upward-trending definition,Active,13313658,5395106,2025-03-26,2027-05-30
244,4,Upgradable foreground productivity,Planned,11659036,4699561,2025-08-08,2027-12-05
245,21,Grass-roots zero administration matrix,At Risk,10732364,9358166,2026-04-09,2028-05-30
246,177,Ameliorated optimal task-force,Active,4384895,1290138,2025-08-29,2027-09-19
247,173,Self-enabling didactic synergy,Planned,19437436,9188182,2026-01-23,2027-06-14
248,116,Horizontal needs-based structure,Paused,27567018,18804650,2026-02-12,2027-02-15
249,287,Extended zero administration analyzer,Active,19515090,15162607,2025-07-03,2027-01-28
250,100,Extended content-based firmware,Active,16882155,6077253,2026-03-01,2026-07-24
251,151,Seamless needs-based conglomeration,Active,16928227,8923119,2024-07-04,2027-05-31
252,219,Automated 24hour algorithm,Paused,9275999,1910960,2024-10-03,2028-05-13
253,14,Persistent grid-enabled Graphical User Interface,Paused,23674670,15824017,2024-12-19,2027-03-10
254,119,Triple-buffered zero-defect pricing structure,At Risk,8617403,2627017,2025-04-20,2027-01-29
255,139,Universal background interface,Paused,6471061,2162658,2024-11-12,2026-10-14
256,30,Configurable bi-directional leverage,Paused,30218549,25609098,2026-02-13,2026-10-15
257,202,Sharable dedicated application,Paused,21408894,20410576,2024-10-30,2028-02-01
258,69,Profit-focused cohesive array,Active,4187747,1247365,2025-05-19,2028-05-17
259,255,Networked directional software,Completed,27343437,9964303,2024-12-09,2026-07-27
260,236,Visionary actuating toolset,At Risk,21135968,14542358,2026-04-19,2028-04-18
261,82,Reactive scalable productivity,Completed,4800095,4571245,2024-06-25,2028-03-29
262,94,Profound transitional interface,Paused,18398711,13467144,2026-03-04,2026-09-01
263,105,Down-sized zero administration hub,Planned,30473946,14742539,2025-06-08,2027-02-06
264,68,Total discrete approach,Planned,12534052,6621542,2025-03-25,2027-02-18
265,118,Vision-oriented maximized matrices,Active,7102468,4259652,2024-09-14,2026-09-15
266,206,Organic bi-directional standardization,At Risk,8997238,8850114,2025-03-30,2026-09-20
267,243,Re-contextualized multi-tasking attitude,Paused,21774302,7086450,2026-05-02,2028-03-02
268,205,Persevering intangible interface,Active,17303012,8962423,2026-05-09,2028-04-15
269,14,De-engineered attitude-oriented groupware,Active,28969816,8690550,2024-10-02,2027-04-29
270,14,Exclusive solution-oriented knowledge user,Active,702625,473567,2024-09-05,2026-07-15
271,273,Virtual 24hour infrastructure,Active,18424078,8507984,2025-06-30,2027-07-15
272,139,Optional even-keeled instruction set,Planned,4499306,1613329,2026-05-22,2028-02-17
273,33,Cross-platform explicit leverage,At Risk,24145322,18678799,2026-03-08,2027-03-12
274,182,Robust fault-tolerant interface,At Risk,1066598,494656,2025-07-11,2027-03-02
275,108,Sharable maximized frame,Planned,9766653,2766941,2026-05-11,2027-03-07
276,154,Intuitive logistical intranet,Planned,16355990,12315046,2026-04-04,2027-07-24
277,265,Re-contextualized scalable solution,Paused,30036388,18101279,2025-05-31,2027-06-14
278,237,Versatile directional software,Paused,9772260,4070835,2026-01-26,2027-03-29
279,65,Networked responsive info-mediaries,At Risk,25522990,19772967,2024-07-10,2027-12-03
280,68,Synchronized solution-oriented encryption,Paused,10689494,10750645,2025-09-25,2027-12-14
281,280,Assimilated bandwidth-monitored firmware,At Risk,16255609,12806212,2025-10-09,2026-07-19
282,165,Seamless heuristic structure,Paused,36618695,31371603,2025-09-18,2026-08-19
283,93,Organic secondary workforce,Paused,898193,405160,2024-08-09,2027-10-07
284,248,Visionary bandwidth-monitored process improvement,Completed,33460388,7843158,2025-08-23,2027-04-02
285,196,Synchronized responsive support,Active,38959485,14203367,2024-11-21,2026-12-12
286,121,Streamlined fault-tolerant matrix,Paused,11818944,8140849,2026-03-25,2026-10-22
287,221,Universal optimizing instruction set,Paused,24176009,6746998,2024-08-08,2026-09-09
288,30,Sharable secondary portal,Paused,11535317,5565138,2026-05-11,2027-03-08
289,149,Synergized responsive emulation,Paused,29477666,12622271,2024-11-26,2028-01-10
290,171,Vision-oriented explicit array,At Risk,34186372,29128717,2025-03-22,2028-04-23
291,270,Synergized optimal software,Paused,35994864,12938264,2026-05-08,2028-04-07
292,88,Ameliorated intermediate contingency,Completed,21917719,17108110,2025-07-10,2027-12-31
293,70,Cross-group fresh-thinking success,Planned,27547601,23539011,2025-10-23,2027-04-23
294,261,Business-focused stable utilization,Active,18259379,9682142,2026-03-23,2026-07-25
295,300,Re-engineered national approach,Active,11693197,5855981,2025-02-20,2026-09-04
296,164,Programmable didactic firmware,Paused,25447186,6782363,2026-04-08,2027-01-17
297,201,Re-contextualized demand-driven installation,Active,11726164,7751261,2024-12-10,2027-05-11
298,94,Centralized system-worthy model,Planned,23912467,4953634,2025-06-05,2027-09-17
299,274,Versatile dynamic forecast,Completed,12704479,6259688,2025-05-28,2027-02-01
300,87,Total empowering attitude,Paused,20524319,11723375,2025-10-29,2027-06-01
301,211,Digitized bandwidth-monitored website,At Risk,13063640,8998958,2025-07-02,2027-12-18
302,93,Front-line 3rdgeneration process improvement,Active,1253113,344895,2025-04-01,2027-06-26
303,84,De-engineered real-time productivity,Planned,16887565,16301705,2024-11-05,2027-04-10
304,148,Front-line upward-trending framework,Paused,38634040,26113523,2025-06-22,2026-07-24
305,6,Up-sized scalable conglomeration,Completed,1302260,914905,2025-08-05,2027-03-02
306,202,Operative systematic concept,Completed,11824675,10525432,2025-07-19,2027-08-29
307,21,Realigned fault-tolerant hardware,Planned,9418013,5087843,2024-12-21,2028-01-18
308,135,Multi-tiered client-driven intranet,Planned,23397613,20759904,2025-05-20,2026-11-30
309,298,Customer-focused contextually-based Graphical User Interface,Active,24646869,13732153,2025-06-21,2026-10-07
310,35,Visionary next generation Local Area Network,Planned,32425292,28983078,2025-03-22,2027-04-18
311,10,Future-proofed 24hour extranet,Planned,15942367,11319945,2026-01-03,2027-09-22
312,44,User-friendly eco-centric firmware,At Risk,38982283,14901874,2026-04-01,2027-06-04
313,103,Mandatory transitional contingency,Active,36554451,26097142,2026-02-10,2026-10-06
314,83,Open-architected reciprocal initiative,Planned,20390296,18232467,2025-06-17,2027-02-27
315,45,Virtual bifurcated installation,Planned,15311105,7920845,2025-08-11,2026-08-23
316,24,Multi-layered asynchronous Local Area Network,Paused,28577134,28606429,2024-08-29,2027-03-27
317,74,Switchable client-server product,Planned,31364270,18920760,2025-07-14,2027-02-24
318,165,Stand-alone logistical algorithm,Planned,27241817,11801669,2025-11-04,2028-02-19
319,215,Adaptive responsive adapter,Completed,4083800,2423414,2025-02-23,2028-03-26
320,67,Fundamental systemic groupware,Paused,26634352,11547205,2025-11-02,2028-05-15
321,182,Pre-emptive intangible instruction set,At Risk,1092789,231913,2025-01-24,2027-05-29
322,117,Innovative bifurcated definition,At Risk,31473339,10826049,2025-07-08,2026-12-31
323,217,Enhanced logistical Internet solution,Completed,6448637,3669887,2024-07-19,2027-07-22
324,76,Front-line dedicated hardware,Active,15360672,11656234,2025-08-21,2027-07-25
325,102,Sharable zero tolerance capacity,Paused,27939236,8246906,2026-04-01,2027-03-21
